"exp_var";"term";"estimate";"low95ci";"up95ci";"nb_obs";"nb_groups"
"mass";"(Intercept)";10,5953;10,3537;10,8368;NA;NA
"mass";"relative_par_load";-0,0336;-0,0552;-0,0121;NA;NA
"mass";"hatch_size";-0,1365;-0,1681;-0,1048;NA;NA
"mass";"relative_par_load:hatch_size";0,001;-0,0025;0,0044;NA;NA
"mass";"sd__(Intercept)";0,2974;0,2539;NA;NA;167
"mass";"sd__(Intercept)";0,2485;0,1743;0,3561;NA;18
"mass";"sd__Observation";0,6525;0,6362;0,669;3243;NA
"tarsus";"(Intercept)";16,2722;16,0992;16,445;NA;NA
"tarsus";"relative_par_load";-0,0186;-0,0353;-0,0018;NA;NA
"tarsus";"hatch_size";-0,0214;-0,0462;0,0034;NA;NA
"tarsus";"relative_par_load:hatch_size";0,0021;-6e-04;0,0048;NA;NA
"tarsus";"sd__(Intercept)";0,183;0,1527;0,2165;NA;160
"tarsus";"sd__(Intercept)";0,1021;0,0623;0,1558;NA;18
"tarsus";"sd__Observation";0,474;0,4612;0,4871;2766;NA
